ABSOLUTE|絕對的
ABSTRACT|抽象的
ACADEMY|學院
ACCELERATION|加速度
ACCESSORY|飾品
ACQUISITION|收購
ACUTE|急性的
ADVERTISING|廣告
AGREEMENT|協議
AIRCRAFT|航空器
ALCHEMIST|鍊金術士
ALGORITHM|演算法
ALLIANCE|聯盟
AMBITION|雄心
AMPHIBIAN|兩棲動物
AMPLITUDE|振幅
AMUSEMENT|娛樂
ANALYSIS|分析
ANCHOR|錨
ANCHORAGE|停泊處
ANCHORING|拋錨
ANGER|憤怒
ANTIBIOTIC|抗生素
ANTIQUITY|古代
ANXIETY|焦慮
APARTMENT|公寓
ARCHAEOLOGY|考古學
ARCHER|弓箭手
ARCHITECTURE|建築
ARMOR|盔甲
ARROW|箭
ARTIFACT|文物
ASPIRATION|抱負
ASTEROID|小行星
ATMOSPHERE|大氣
ATOM|原子
ATTITUDE|態度
ATTORNEY|律師
AUDIT|審計
AURORA|極光
AUTOMATION|自動化
AVALANCHE|雪崩
AVIATION|航空
BACKPACK|背包
BACTERIA|細菌
BALANCE|平衡
BAMBOO|竹子
BANDANA|頭巾
BANKRUPTCY|破產
BANNER|旗幟
BANQUET|宴會
BARNACLE|藤壺
BATTERY|電池
BAY|海灣
BEHAVIOR|行為
BELLOW|怒吼
BEVERAGE|飲料
BIOGRAPHY|傳記
BLOSSOM|花朵
BOAT|小船
BONDS|債券
BOTTLE|酒瓶
BOULEVARD|林蔭大道
BRAVERY|勇敢
BREEZE|微風
BRIG|雙桅船 / 監禁室
BROADCAST|廣播
BUCCANEER|海盜
BUDGET|預算
BUTTERFLY|蝴蝶
CABIN|船艙
CABOOSE|船尾小屋
CACTUS|仙人掌
CALENDAR|日曆
CANNON|大砲
CANOE|獨木舟
CANOPY|樹冠
CANYON|峽谷
CAPACITY|容量
CAPITAL|資本
CAPTAIN|船長
CAREER|生涯
CARGO|貨物
CARNIVAL|狂歡節
CARNIVORE|肉食動物
CASTLE|城堡
CATHEDRAL|大教堂
CAVERN|洞穴
CELL|細胞
CHAMELEON|變色龍
CHAOS|混亂
CHARACTER|性格
CHARIOT|戰車
CHARISMA|魅力
CHART|航海圖
CHEETAH|獵豹
CHEMICAL|化學製品
CHEST|寶箱
CHRONIC|慢性的
CHRONICLE|編年史
CINEMA|電影院
CIRCUITS|電路
CITIZEN|公民
CIVILIZATION|文明
CLIMATE|氣候
COCONUT|椰子
COGNITION|認知
COIN|金幣
COMEDY|喜劇
COMET|彗星
COMMERCE|商業
COMMUNITY|社區
COMPANY|公司
COMPASS|指南針
COMPASSION|憐憫
COMPLEX|複雜的
COMPOSER|作曲家
CONCERT|音樂會
CONCRETE|具體的
CONFIDENCE|自信
CONQUEST|征服
CONSCIENCE|良心
CONSCIOUSNESS|意識
CONSERVATION|保育
CONSUMER|消費者
CONTINENT|大陸
CONTRACT|合約
CORAL|珊瑚
CORPORATION|法人
CORSAIR|私掠船 / 海盜
COSMOS|宇宙
COSTUME|服裝
COURAGE|勇氣
COURT|法庭
CREATIVITY|創造力
CREW|船員
CRITERION|標準
CROW|烏鴉
CRUISE|巡航
CUISINE|烹飪
CULTURE|文化
CURRENCY|貨幣
CURRENT|洋流
CURRENTS|洋流
CURRICULUM|課程
CUSTOM|習俗
CUSTOMER|顧客
CUTLASS|彎刀
CYBERSECURITY|網絡安全
DATABASE|資料庫
DAWN|黎明
DECK|甲板
DEDICATION|奉獻
DENSITY|密度
DEPRESSION|抑鬱
DEPTH|深度
DESERT|沙漠
DESIGN|設計
DESTINATION|目的地
DESTINY|命命運
DIAGNOSIS|診斷
DIMENSION|維度
