ABSOLUTE|絕對的
ABSTRACT|抽象的
ACADEMY|學院
ACCELERATION|加速度
APARTMENT|公寓
ASPECT|方面
BALANCE|平衡
BEING|生命/存在
BEING|存在/生命
CAPACITY|容量
CHRONIC|慢性的
CITIZEN|公民
COMMUNITY|社區
COMPLEX|複雜的
COMPONENT|組件
CONCEPT|概念
CONCEPTS|概念(複數)
CONCRETE|具體的
CONNECTION|連接
CONTEXT|語境/背景
CRITERION|標準
CUSTOM|習俗
DENSITY|密度
DIPLOMA|文憑
DISEASE|疾病
DYNAMIC|動態的
EDUCATION|教育
ELEMENT|元素
ESSENCE|本質
EVOLUTION|進化
EXISTENCE|存在
FACTOR|因素
FLEET|車隊/船隊
FLEET|船隊
FOUNTAIN|噴泉
FRAMEWORK|框架
FRICTION|摩擦力
FUNCTION|功能
FUNDAMENTAL|基礎的
GRADUATION|畢業
HARBOR|港灣
HORIZON|地平線
INFRASTRUCTURE|基礎設施
INGREDIENT|原料
INTENSITY|強度
KNOT|繩結
LOGIC|邏輯
LOGICAL|邏輯的
MAGNITUDE|巨大/震級
MANSION|豪宅
METROPOLIS|大都市
MONUMENT|紀念碑
NATURE|自然/本質
NEIGHBORHOOD|鄰里
OCCUPATION|職業
OPTIMAL|最佳的
PARADIGM|範例
PARADOX|悖論
PAVILION|涼亭
PERMANENT|永久的
PERSPECTIVE|視角
PHENOMENON|現象
POLLUTION|污染
POPULATION|人口
PRESSURE|壓力
PRINCIPLE|原則
PRINCIPLES|原則(複數)
PROCESS|過程
PROFESSION|職業
PROPORTION|比例
REALITY|現實
REASON|理智/原因
REASON|理智
RECYCLING|回收
RELATION|關係
RELATIVE|相對的
RESIDENCE|住宅
RESISTANCE|阻力
RURAL|鄉村的
SCHEDULE|日程表
SIMPLE|簡單的
SKYSCRAPER|摩天大樓
SOCIETY|社會
SQUARE|廣場
STATIC|靜態的
STRUCTURE|結構
SUBURB|郊區
SUSTAINABILITY|永續性
SYMMETRY|對稱
SYNTHESIS|綜合
SYSTEM|系統
SYSTEMS|系統(複數)
TEMPORARY|暫時的
THEORIES|理論(複數)
THEORY|理論
TRUTH|真理
ULTIMATE|終極的
UNIVERSITY|大學
URBAN|城市的
VIEWPOINT|觀點
VOCATION|天職
VOLUME|體積
WITNESS|證人
