ASTEROID|小行星
ASTRONOMY|天文學
ATMOSPHERE|大氣
AURORA|極光
AVALANCHE|雪崩
BAY|海灣
BIOME|生物群落
BIOSPHERE|生物圈
BREEZE|微風
CANYON|峽谷
CAVERN|洞穴
CLIMATE|氣候
CLOUD|雲
CLOUD|雲端
COMET|彗星
CONSTELLATION|星座
COSMOS|宇宙
CRATER|火山口/坑洞
CURRENT|洋流
CURRENTS|洋流
DAWN|黎明
DEPTH|深度
DESERT|沙漠
DEW|露水
DUSK|黃昏
EARTHQUAKE|地震
ECLIPSE|食
ECOLOGY|生態學
ECOSYSTEM|生態系統
ENVIRONMENT|環境
EQUATOR|赤道
EROSION|侵蝕
ETERNITY|永恆
FOG|霧
FOREST|森林
FROST|霜
GALAXY|銀河
GEOLOGY|地質學
GLACIER|冰河
GRAVEL|碎石
GRAVITATION|萬有引力
GRAVITY|重力
HABITAT|棲息地
HAIL|冰雹
HEMISPHERE|半球
HORIZON|地平線
HURRICANE|颶風
INFINITY|無限
ISLAND|島嶼
LAGOON|潟湖
LATITUDE|緯度
LIGHTNING|閃電
LIGHTYEAR|光年
LONGITUDE|經度
LUNAR|月球的
MAGMA|岩漿
METEOR|流星
METEORITE|隕石
METEOROLOGY|氣象學
MONSOON|季風
MOUNTAIN|山脈
MUD|泥巴
NEBULA|星雲
OASIS|綠洲
OCEAN|海洋
OCEANOGRAPHY|海洋學
ORBIT|軌道
PENINSULA|半島
PLANET|行星
PLATEAU|高原
QUASAR|類星體
REALITY|現實
REEF|礁石
RIVER|河流
SAND|沙子
SATELLITE|衛星
SEASHORE|海岸
SEASONS|季節
SEDIMENT|沉積物
SEISMIC|地震的
SHORE|岸邊
SOLAR|太陽的
SPECTRUM|光譜
STORM|暴風雨
STRATOSPHERE|平流層
SUPERNOVA|超新星
SWAMP|沼澤
TERRAIN|地形
THUNDER|雷聲
TIDAL|潮汐的
TIDE|潮汐
TORNADO|龍捲風
TSUNAMI|海嘯
TWILIGHT|微明
UNIVERSE|宇宙
VALLEY|山谷
VOLCANO|火山
WATERFALL|瀑布
WAVE|海浪
WEATHER|天氣
WHIRLPOOL|漩渦
WILDERNESS|荒野
ZEPHYR|和風
