ADVENTURE|冒險
ANCHOR|錨
ANCHORAGE|停泊處
ANCHORING|拋錨
BARK|小帆船
BARNACLE|藤壺
BAY|海灣
BELLOW|怒吼
BLACKJACK|海盜旗/皮酒杯
BOATSWAIN|水手長
BOOTY|戰利品
BOTTLE|酒瓶
BRIG|雙桅船 / 監禁室
BROADSIDE|舷砲齊射
BUCCANEER|海盜
BUOY|浮標
CABIN|船艙
CABOOSE|船尾小屋
CANNON|大砲
CAPTAIN|船長
CARGO|貨物
CASTAWAY|遇難者
CHART|航海圖
CHEST|寶箱
COMPASS|指南針
CORAL|珊瑚
CORSAIR|私掠船 / 海盜
COXSWAIN|舵手
CREW|船員
CROSSBONES|交叉骨
CRUISE|巡航
CURRENT|洋流
CUTLASS|彎刀
DECK|甲板
DIVER|潛水員
DOCK|碼頭
DOCKYARD|造船廠
DOUBLOON|達布隆金幣
EXPEDITION|探險
FLAG|旗幟
FLEET|車隊/船隊
FLEET|船隊
FLINTLOCK|燧發槍
FLOTSAM|海上漂流物
FREIGHTER|貨輪
FRIGATE|巡防艦
GALLEON|大型西班牙帆船
GALLEY|廚房
GOLD|黃金
GROG|格羅格酒(烈酒)
HOOK|鉤子
HORIZON|地平線
HULL|船體
JETSAM|投棄物
KRAKEN|海怪
LAGOON|潟湖
LANTERN|燈籠
LIGHTHOUSE|燈塔
LOGGERHEAD|傻瓜/大鐵球
MAP|地圖
MARINA|遊艇港
MARINER|海員
MAST|桅杆
MATEY|夥伴
MERMAID|美人魚
MUTINEER|叛變者
MUTINY|叛變
NAVIGATE|航行
NAVY|海軍
OCEAN|海洋
PARLEY|談判
PATCH|眼罩
PEARL|珍珠
PEGLEG|木腿
PIRATE|海盜
PLANK|跳板
PLANKING|走板
PLUNDER|掠奪
PORT|港口
PRIVATEER|私掠者
PROW|船首
QUARTERMASTER|大副
RAID|突襲
REEF|礁石
ROPE|繩索
RUM|蘭姆酒
RUMBLE|隆隆聲
SABER|軍刀
SAIL|帆
SAILOR|水手
SALVAGE|海上救助
SCALLYWAG|小混混
SCHOONER|縱帆船
SEASHORE|海岸
SEXTANT|六分儀
SHARK|鯊魚
SHIP|船
SHIPMATE|船友
SHORE|岸邊
SIREN|海妖
SKULL|頭蓋骨
SLOOP|單桅帆船
SLOSH|溅水
SMUGGLE|走私
SPLASH|濺起水花
SPYGLASS|單筒望遠鏡
STOWAWAY|偷渡者
SUBMARINE|潛水艇
SWAB|拖把
SWASHBUCKLE|揮刀戰鬥
TACK|航向
TIDAL|潮汐的
TIDE|潮汐
TIMBER|木材
TREASURE|寶藏
VESSEL|船隻
VOYAGE|航程
WAVE|海浪
WHARF|碼頭
WHISTLE|口哨
WRECKAGE|殘骸
YAR|敏捷
