ACCELERATION|加速度
AIRCRAFT|航空器
AIRPORT|機場
ARRIVAL|抵達
AUTOMOBILE|汽車
AVIATION|航空
BACKPACK|背包
BACKPACKER|背包客
BOARDING|登機/登船
BOAT|小船
BOULEVARD|林蔭大道
CABIN|船艙
CAMPING|露營
CANOE|獨木舟
CARAVAN|商隊/旅行車
CARGO|貨物
CHECKIN|報到
COMMUTE|通勤
COMMUTER|通勤者
CROSSING|橫渡/交叉口
CRUISE|巡航
CUSTOMS|海關
DECK|甲板
DELIVERY|遞送
DEPARTURE|出發
DESTINATION|目的地
DIVER|潛水員
ECOTOURISM|生態旅遊
EXCURSION|短途旅行
EXPEDITION|探險
EXPLORATION|探索
EXPRESSWAY|快速道路
FARE|票價
FERRY|渡輪
FLEET|車隊/船隊
FLEET|船隊
FLIGHT|航班
FREIGHT|貨運
FREIGHTER|貨輪
GONDOLA|纜車/貢多拉
GUIDE|導遊
HARBOR|港灣
HELICOPTER|直升機
HIGHWAY|公路
IMMIGRATION|移民
INTERSECTION|十字路口
ITINERARY|行程
JOURNEY|旅程
LIGHTHOUSE|燈塔
LOCOMOTION|移動
LOCOMOTIVE|火車頭
LOGISTICS|物流
LUGGAGE|行李
MAP|地圖
MARINA|遊艇港
MARINER|海員
MILEAGE|里程
NAVIGATE|航行
NAVIGATION|導航
ORBIT|軌道
ORBITER|軌道飛行器
PASSAGE|航道/通行
PASSENGER|乘客
PASSPORT|護照
PILGRIMAGE|朝盛
PILOT|飛行員
PORT|港口
PROPELLER|螺旋槳
RADAR|雷達
RAILWAY|鐵路
RECONNAISSANCE|偵察
RESORT|渡假勝地
ROCKET|火箭
RUDDER|舵
RUNWAY|跑道
SAFARI|狩獵旅行
SATELLITE|衛星
SCHEDULE|日程表
SHIP|船
SHUTTLE|接駁車/太空梭
SOJOURN|逗留/旅居
SONAR|聲納
SOUVENIR|紀念品
SPACESHIP|太空船
SPEEDOMETER|速度計
STATION|車站
SUBMARINE|潛水艇
SUBWAY|地鐵
TERMINAL|終點站
TICKET|車票
TIDAL|潮汐的
TOURIST|遊客
TRAFFIC|交通
TRAM|路面電車
TRANSIT|過境
TRANSPORTATION|運輸
TREK|艱苦跋涉
VACATION|假期
VEHICLE|車輛
VELOCITY|速度
VESSEL|船隻
VOYAGE|航程
WANDERLUST|旅遊熱
WAYFARER|旅人
YACHT|遊艇
