ALCHEMIST|鍊金術士
ALLIANCE|聯盟
AMULET|護身符
ANCIENT|古代的
ANTIQUITY|古代
ARCHAEOLOGY|考古學
ARCHAIC|古老的
ARCHER|弓箭手
ARMOR|盔甲
ARMORY|軍械庫
ARROW|箭
ARTIFACT|手工藝品/文物
ARTIFACT|文物
ARTIFACT|神器
BANNER|旗幟
BUCCANEER|海盜
CASTLE|城堡
CATHEDRAL|大教堂
CAULDRON|大鍋
CENTAUR|人馬
CHARIOT|戰車
CHRONICLE|編年史
CHRONOLOGY|年代學
CITADEL|城堡/大本營
CIVILIZATION|文明
COIN|金幣
CONQUEROR|征服者
CONQUEST|征服
CORSAIR|私掠船 / 海盜
DESTINY|命命運
DOUBLOON|達布隆金幣
DRAGON|龍
DRAWBRIDGE|吊橋
DUNGEON|地牢
DWARF|矮人
DYNASTIC|王朝的
DYNASTY|王朝
DYNASTY|朝代
ELVES|精靈
EMPEROR|皇帝
EMPIRE|帝國
ENCHANT|施魔法
ENCHANTMENT|魔法/迷魂
EXCAVATION|挖掘
FAIRYTALE|童話
FEUDAL|封建的
FEUDALISM|封建制度
FOLKLORE|民間傳說
FORTRESS|堡壘
FORTRESS|要塞
GENEALOGY|家譜
GOBLIN|哥布林
GOLD|黃金
HERALD|使者
HERALDRY|紋章學
HERITAGE|遺產
HIEROGLYPH|象形文字
KINGDOM|王國
KNIGHT|騎士
LEGEND|傳說
LEGENDARY|傳奇的
MEDIEVAL|中世紀的
MOAT|護城河
MONARCH|君主
MONASTERY|修修道院
MONUMENT|紀念碑
MUSEUM|博物館
MYTH|神話
MYTHICAL|神話的
ORACLE|神諭
ORC|獸人
PALACE|宮殿
PALADIN|聖騎士
PARCHMENT|羊皮紙
PHOENIX|鳳凰
PIRATE|海盜
POTION|藥水
PRIVATEER|私掠者
PROPHECY|預言
REBELLION|叛亂
RELIC|遺物
RENAISSANCE|文藝復興
REVOLUTION|革命
SANCTUARY|庇護所
SCROLL|卷軸
SHIELD|盾
SHIELD|盾牌
SHRINE|神龕
SIEGE|圍攻
SORCERER|魔術師
SOVEREIGN|主權者
SPEAR|長矛
SPELL|咒語
SWORD|劍
TALISMAN|護身符
TALISMAN|避邪物
TEMPLE|寺廟
TRADITION|傳統
TREASURE|寶藏
TREATY|條約
TURRET|塔樓
UNICORN|獨角獸
VALOR|英勇
WARRIOR|戰士
WIZARD|巫師
