AMPHIBIAN|兩棲動物
AQUATIC|水生的
AVIAN|鳥類的
BAMBOO|竹子
BARNACLE|藤壺
BIOLOGY|生物學
BLOSSOM|花朵
BLOSSOMING|開花的
BOTANY|植物學
BUTTERFLY|蝴蝶
CACTUS|仙人掌
CANOPY|樹冠
CARNIVORE|肉食動物
CELL|細胞
CHAMELEON|變色龍
CHEETAH|獵豹
COCONUT|椰子
CORAL|珊瑚
CROW|烏鴉
DESERT|沙漠
DINOSAUR|恐龍
DOLPHIN|海豚
DRAGONFLY|蜻蜓
EAGLE|老鷹
ECOLOGY|生態學
ECOSYSTEM|生態系統
EVOLUTION|進化
FALCON|獵鷹
FAUNA|動物群
FERN|蕨類
FLAMINGO|火烈鳥
FLORA|植物群
FOLIAGE|葉子
FOREST|森林
FOSSIL|化石
GULL|海鷗
HABITAT|棲息地
HERBAGE|牧草
HERBIVORE|草食動物
INSECT|昆蟲
JASMINE|茉莉花
JELLYFISH|水母
JUNGLE|叢林
LAVENDER|薰衣草
LEAF|葉子
LEOPARD|豹
MAMMAL|哺乳動物
MAPLE|楓樹
MARSH|濕地
MEADOW|草地
MERMAID|美人魚
MOSS|苔蘚
MUSHROOM|蘑菇
OAK|橡樹
OCTOPUS|章魚
OMNIVORE|雜食動物
ORCHID|蘭花
ORGANISM|生物體
ORGANISM|生物
OWL|貓頭鷹
PANTHER|黑豹
PARROT|鸚鵡
PEACOCK|孔雀
PETAL|花瓣
PINE|松樹
POLLEN|花粉
PRAIRIE|大草原
PREDATOR|捕食者
PREY|獵物
RAINFOREST|雨林
REINDEER|馴鹿
REPTILE|爬行動物
ROOT|根
ROSE|玫瑰
SAVANNA|熱帶草原
SCORPION|蠍子
SEAGULL|海鷗
SEAWEED|海藻
SEED|種子
SHARK|鯊魚
SHELL|貝殼
SIREN|海妖
SPECIES|物種
SQUIRREL|松鼠
STALLION|公馬
STEM|莖
SUNFLOWER|向日葵
SWAMP|沼澤
SWAN|天鵝
TIMBER|木材
TUNDRA|凍原
VEGETATION|植被
WHALE|鯨魚
WILDLIFE|野生動物
WOODLAND|林地
ZOOLOGY|動物學
