ACCELERATION|加速度
ALGORITHM|演算法
AMPLITUDE|振幅
ANALOG|類比的
ANTIBIOTIC|抗生素
ARTIFICIAL|人工的
ASTRONOMICAL|天文的
ASTRONOMY|天文學
ATOM|原子
AUGMENTED|擴增的
AUTOMATION|自動化
BATTERY|電池
CHEMICAL|化學製品
CHEMICALS|化學物質
CHEMIST|化學家
CHEMISTRY|化學
CIRCUITS|電路
CLOUD|雲
CLOUD|雲端
CODE|程式碼
COMPUTER|電腦
CYBER|網路的
CYBERNETICS|控制論
CYBERSECURITY|網絡安全
DATA|資料
DATABASE|資料庫
DECRYPTION|解密
DEVELOPER|開發者
DIAGNOSIS|診斷
DIGITAL|數位的
DISCOVERY|發現
DISEASE|疾病
DNA|去氧核糖核酸
ELECTRICITY|電力
ELECTRON|電子
ELECTRONICS|電子學
ELEMENT|元素
ENCRYPTION|加密
ENERGY|能量
ENGINEER|工程師
ENGINEERING|工程學
EQUATION|方程式
EVOLUTION|進化
EXPERIMENT|實驗
FORMULA|公式
FREQUENCY|頻率
GENERATOR|發電機
GENETIC|遺傳的
GENETICS|遺傳學
GENOME|基因組
GRAVITY|重力
HARDWARE|硬體
IMMUNITY|免疫力
INNOVATION|創新
INTELLIGENCE|智慧
INTELLIGENCE|智力
INTERNET|網際網路
INVENTION|發明
INVENTOR|發明家
LABORATORIES|實驗室(複數)
LABORATORY|實驗室
LEARNING|學習
MACHINE|機器
MATHEMATICIAN|數學家
MATHEMATICS|數學
MECHANICS|力學
MEDICINE|醫學
MICROSCOPE|顯微鏡
MOLECULE|分子
NETWORK|網路
NEUTRON|中子
ORGANISM|生物體
ORGANISM|生物
PHYSICIST|物理學家
PHYSICS|物理學
PROCESSOR|處理器
PROGRAMMING|程式設計
PROTON|質子
QUANTUM|量子
RADAR|雷達
REALITY|現實
RELATIVITY|相對論
RESEARCH|研究
ROBOT|機器人
ROBOTICS|機器人學
SCIENTIST|科學家
SECURITY|安全
SENSOR|感測器
SERVER|伺服器
SOFTWARE|軟體
SONAR|聲納
SURGERY|手術
SYMPTOM|症狀
TECHNOLOGY|科技
TELESCOPE|望遠鏡
THERAPY|治療
THERMODYNAMICS|熱力學
VELOCITY|速度
VIRTUAL|虛擬的
VIRUS|病毒
