ACQUISITION|收購
ADVERTISING|廣告
AGREEMENT|協議
ATTORNEY|律師
AUDIT|審計
AUDITORS|審計師
BANK|銀行
BANKRUPTCY|破產
BONDS|債券
BRAND|品牌
BUDGET|預算
BUSINESS|商業/企業
CAPITAL|資本
CLIENT|客戶
COIN|金幣
COMMERCE|商業
COMMERCIAL|商業的
COMPANY|公司
CONSUMER|消費者
CONTRACT|合約
CONTRACTS|合約(複數)
CORPORATION|法人
CORPORATION|法人/公司
COST|成本
COURT|法庭
COURTROOM|法庭
CREDIT|信用
CURRENCY|貨幣
CUSTOMER|顧客
DEAL|交易
DEBT|債務
DIRECTOR|導演
DIRECTOR|董事
DOUBLOON|達布隆金幣
ECONOMIC|經濟的
ECONOMY|經濟
EMPLOYEE|員工
EMPLOYERS|雇主
ENTERPRISE|企業
EVIDENCE|證據
EXECUTIVE|主管
EXPENSE|費用
FINANCE|財政
FINANCE|財政/金融
FINANCES|財務狀況
FINANCIAL|財政的
FISCAL|財政的
GOLD|黃金
ILLEGAL|違法的
INDUSTRY|工業/產業
INDUSTRY|工業
INFLATION|通貨膨脹
INSURANCE|保險
INVESTMENT|投資
INVESTOR|投資者
JUDGE|法官
JUDICIAL|司法的
JUSTICE|正義
LAWS|法律(複數)
LAWSUIT|訴訟
LAWYER|律師
LEGAL|合法的
LEGISLATION|立法
LITIGATION|訴訟
LOAN|貸款
LOSS|損失
MANAGEMENT|管理
MANAGER|經理
MARKET|市場
MARKETING|行銷
MERCHANT|商人
MERGER|合併
MONETARY|貨幣的
NEGOTIATION|談判
PARTNERS|合夥人
PARTNERSHIP|合夥關係
PRICE|價格
PROFIT|利潤
PROFITS|利潤(複數)
REGAL|帝王般的/合法的
REGULATION|法規
REGULATIONS|規章
REVENUE|收入
REVENUES|總收入(複數)
SALES|銷售
SHARE|股份
SHAREHOLDER|股東
STOCKS|股票
STRATEGY|策略
SUPPLIER|供應商
TARIFF|關税
TAXATION|稅收
TRADE|貿易
TRANSACTION|交易
TREASURE|寶藏
TREATY|條約
VALUE|價值
VERDICT|判決
WITNESS|證人
