ACCESSORY|飾品
ACTOR|演員
ACTRESS|女演員
AESTHETIC|美學的
AESTHETICS|美學
AMUSEMENT|娛樂
ARCHITECTURE|建築
ARTIST|藝術家
BANQUET|宴會
BEVERAGE|飲料
BIOGRAPHY|傳記
BOTTLE|酒瓶
BROADCAST|廣播
CARNIVAL|狂歡節
CELEBRATION|慶祝
CINEMA|電影
CINEMA|電影院
COMEDY|喜劇
COMPOSER|作曲家
COMPOSITIONS|作品/樂曲
CONCERT|音樂會
COSTUME|服裝
CREATION|創作品
CREATIVE|有創造力的
CREATIVITY|創造力
CUISINE|烹飪
CUISINE|烹飪/美食
CULTURE|文化
CULTURES|文化(複數)
DESIGN|設計
DRAMA|戲劇
DRAMATIC|戲劇性的
ENTERTAINMENT|娛樂
EXHIBITION|展覽
EXHIBITS|展覽品
FASHION|時尚
FEAST|盛宴
FESTIVAL|節日
FICTION|小說
GALLERIES|畫廊(複數)
GALLERY|畫廊
GASTRONOMY|烹飪學
GOURMET|美食家
GUITAR|吉他
HARMONY|和聲
HERITAGE|遺產
HOBBY|嗜好
HOSPITALITY|款待
IMAGINATION|想像力
INSPIRATION|靈感
INSTRUMENT|樂器
JOURNAL|期刊
LEISURE|休閒
LITERATURE|文學
MAGAZINE|雜誌
MASTERPIECE|傑作
MELODY|旋律
MUSEUM|博物館
MUSEUMS|博物館(複數)
MUSICAL|音樂的
MUSICIAN|音樂家
NOVEL|小說
NOVELIST|小說家
ORCHESTRA|管弦樂團
PAGEANT|盛會
PAINTER|畫家
PAINTING|畫作
PERFORMANCE|表演
PERFORMANCES|演出(複數)
PHOTOGRAPHY|攝影
PIANO|鋼琴
POET|詩人
POETRY|詩歌
PRODUCER|製作人
RECIPE|食譜
RECREATION|消遣
REFRESHMENT|茶點
RESTAURANT|餐廳
RHYTHM|節奏
RUM|蘭姆酒
SCENARIO|劇情梗概
SCRIPT|劇本
SCULPTOR|雕塑家
SCULPTURE|雕塑
SOUVENIR|紀念品
STAGE|舞台
SYMPHONY|交響樂
TELEVISION|電視
THEATER|劇院/戲劇
THEATER|劇院
THEATRICAL|劇場的
TORCH|火把
TRADITION|傳統
TRADITIONAL|傳統的
TRAGEDY|悲劇
VIOLIN|小提琴
VOCALIST|歌手
WINE|葡萄酒
