ABSOLUTE|絕對的
ABSTRACT|抽象的
ACADEMY|學院
ACCELERATION|加速度
ACCESSORY|飾品
ACQUISITION|收購
ACTION|行動
ACTOR|演員
ACTRESS|女演員
ADVENTURE|冒險
ADVERTISING|廣告
AESTHETIC|美學的
AESTHETICS|美學
AFFECT|情感/影響
AGREEMENT|協議
AIRCRAFT|航空器
AIRPORT|機場
ALCHEMIST|鍊金術士
ALGORITHM|演算法
ALLIANCE|聯盟
AMBITION|雄心
AMPHIBIAN|兩棲動物
AMPLITUDE|振幅
AMULET|護身符
AMUSEMENT|娛樂
ANALOG|類比的
ANCHOR|錨
ANCHORAGE|停泊處
ANCHORING|拋錨
ANCIENT|古代的
ANGER|憤怒
ANTIBIOTIC|抗生素
ANTIQUITY|古代
ANXIETY|焦慮
ANXIOUS|焦慮的
APARTMENT|公寓
AQUATIC|水生的
ARCHAEOLOGY|考古學
ARCHAIC|古老的
ARCHER|弓箭手
ARCHITECTURE|建築
ARMOR|盔甲
ARMORY|軍械庫
ARRIVAL|抵達
ARROW|箭
ARTIFACT|手工藝品/文物
ARTIFACT|神器
ARTIFACT|文物
ARTIFICIAL|人工的
ARTIST|藝術家
ASPECT|方面
ASPIRATION|抱負
ASTEROID|小行星
ASTRONOMICAL|天文的
ASTRONOMY|天文學
ATMOSPHERE|大氣
ATOM|原子
ATTENTION|注意力
ATTENTION|注意
ATTITUDE|態度
ATTORNEY|律師
AUDIT|審計
AUDITORS|審計師
AUGMENTED|擴增的
AURORA|極光
AUTOMATION|自動化
AUTOMOBILE|汽車
AVALANCHE|雪崩
AVIAN|鳥類的
AVIATION|航空
BACKPACK|背包
BACKPACKER|背包客
BALANCE|平衡
BAMBOO|竹子
BANK|銀行
BANKRUPTCY|破產
BANNER|旗幟
BANQUET|宴會
BARK|小帆船
BARNACLE|藤壺
BATTERY|電池
BAY|海灣
BEHAVIOR|行為
BEHAVIORS|行為(複數)
BEING|存在/生命
BEING|生命/存在
BELLOW|怒吼
BEVERAGE|飲料
BIOGRAPHY|傳記
BIOLOGY|生物學
BIOME|生物群落
BIOSPHERE|生物圈
BLACKJACK|海盜旗/皮酒杯
BLOSSOM|花朵
BLOSSOMING|開花的
BOARDING|登機/登船
BOAT|小船
BOATSWAIN|水手長
BOND|債券
BONDS|債券
BOOTY|戰利品
BOTANY|植物學
BOTTLE|酒瓶
BOULEVARD|林蔭大道
BRAIN|大腦
BRAND|品牌
BRAVER|更勇敢的
BRAVERY|勇敢
BREEZE|微風
BRIG|雙桅船 / 監禁室
BROADCAST|廣播
BROADSIDE|舷砲齊射
BUCCANEER|海盜
BUDGET|預算
BUOY|浮標
BUSINESS|商業/企業
BUTTERFLY|蝴蝶
CABIN|船艙
CABOOSE|船尾小屋
CACTUS|仙人掌
CAMPING|露營
CANNON|大砲
CANOE|獨木舟
CANOPY|樹冠
CANYON|峽谷
CAPACITY|容量
CAPITAL|資本
CAPTAIN|船長
CARAVAN|商隊/旅行車
CARGO|貨物
CARNIVAL|狂歡節
CARNIVORE|肉食動物
CASTAWAY|遇難者
CASTLE|城堡
CATHEDRAL|大教堂
CAULDRON|大鍋
CAVERN|洞穴
CELEBRATION|慶祝
CELL|細胞
CENTAUR|人馬
CHAMELEON|變色龍
CHARACTER|性格
CHARIOT|戰車
CHARISMA|魅力
CHART|航海圖
CHECKIN|報到
CHEETAH|獵豹
CHEMICAL|化學製品
CHEMICALS|化學物質
CHEMIST|化學家
CHEMISTRY|化學
CHEST|寶箱
CHRONIC|慢性的
CHRONICLE|編年史
CHRONOLOGY|年代學
CINEMA|電影院
CINEMA|電影
