TREASURE|寶藏
GALLEON|大型西班牙帆船
PARROT|鸚鵡
ANCHOR|錨
CUTLASS|彎刀
BOTTLE|酒瓶
RUM|蘭姆酒
CANNON|大砲
ISLAND|島嶼
COMPASS|指南針
PLUNDER|掠奪
SEASHORE|海岸
HORIZON|地平線
NAVIGATE|航行
BUCCANEER|海盜
MAST|桅杆
CABIN|船艙
SAILOR|水手
BRIG|雙桅船 / 監禁室
RAID|突襲
DOUBLOON|達布隆金幣
HARBOR|港灣
PORT|港口
CORSAIR|私掠船 / 海盜
MAROON|棄置荒島
SHIPMATE|船友
STORM|暴風雨
LAGOON|潟湖
WHARF|碼頭
PLANK|跳板
CROW|烏鴉
MERMAID|美人魚
SIREN|海妖
COCONUT|椰子
SHIP|船
GOLD|黃金
MAP|地圖
CREW|船員
SWORD|劍
FLAG|旗幟
BOAT|小船
COIN|金幣
WAVE|海浪
REEF|礁石
SHARK|鯊魚
CHEST|寶箱
CAPTAIN|船長
SAIL|帆
RIVER|河流
BAY|海灣
ROPE|繩索
MATEY|夥伴
OCEAN|海洋
TIDE|潮汐
BARNACLE|藤壺
HARPOON|魚叉
DECK|甲板
KRAKEN|海怪
CURRENT|洋流
PEARL|珍珠
CORAL|珊瑚
SEAGULL|海鷗
WHIRLPOOL|漩渦
CANOE|獨木舟
CARGO|貨物
ANCHORAGE|停泊處
LIGHTHOUSE|燈塔
SMUGGLE|走私
SEAWEED|海藻
TORCH|火把
SAND|沙子
SHORE|岸邊
LANTERN|燈籠
BREEZE|微風
WHISTLE|口哨
KNOT|繩結
DOCK|碼頭
MARINE|海事
SHELL|貝殼
DEPTH|深度
DIVER|潛水員
MARINA|遊艇港
GULL|海鷗
VOYAGE|航程
HULL|船體
PROW|船首
GALLEY|廚房
RUMBLE|隆隆聲
BELLOW|怒吼
CHART|航海圖
ANCHORING|拋錨
CABOOSE|船尾小屋
MUTINY|叛變
BANDANA|頭巾
HOOK|鉤子
PATCH|眼罩
PEGLEG|木腿
PARLEY|談判
PLANKING|走板
PRIVATEER|私掠者
QUARTERMASTER|大副
SCALLYWAG|小混混
SEXTANT|六分儀
SLOOP|單桅帆船
SLOSH|濺水
SPLASH|濺起水花
SWAB|拖把
SWASHBUCKLE|揮刀戰鬥
TACK|航向
TIDAL|潮汐的
YAR|敏捷
ZEPHYR|和風
GALAXY|銀河
ECLIPSE|食
NEBULA|星雲
METEOR|流星
COMET|彗星
ASTEROID|小行星
VOLCANO|火山
CANYON|峽谷
GLACIER|冰河
WATERFALL|瀑布
AVALANCHE|雪崩
TSUNAMI|海嘯
TORNADO|龍捲風
HURRICANE|颶風
THUNDER|雷聲
LIGHTNING|閃電
CONTINENT|大陸
PENINSULA|半島
OASIS|綠洲
DESERT|沙漠
FOREST|森林
JUNGLE|叢林
SWAMP|沼澤
MEADOW|草地
VALLEY|山谷
MOUNTAIN|山脈
PLATEAU|高原
CAVERN|洞穴
AURORA|極光
TWILIGHT|微明
DAWN|黎明
DUSK|黃昏
ATMOSPHERE|大氣
STRATOSPHERE|平流層
GRAVITY|重力
ORBIT|軌道
COSMOS|宇宙
UNIVERSE|宇宙
PLANET|行星
SATELLITE|衛星
FLORA|植物群
FAUNA|動物群
WILDERNESS|荒野
CURRENTS|洋流
